vrsta_podatka,sezona,kje,klub,kratica,st_tekem,podatek,povprecje,na_40_min
podaje,2007,doma,Lietuvos Rytas,LIE,10,137,10.0,2.74
podaje,2007,doma,Efes Pilsen,IST,10,132,10.0,2.61
podaje,2007,doma,Panathinaikos,PAN,10,131,10.0,2.62
podaje,2007,doma,Fenerbahce Ulker,ULK,11,126,11.0,2.27
podaje,2007,doma,Aris TT Bank,ARI,10,118,10.0,2.33
podaje,2007,doma,Chorale Roanne,ROA,7,112,7.0,3.2
podaje,2007,doma,Lottomatica Roma,ROM,10,91,10.0,1.8
podaje,2007,doma,Prokom Trefl Sopot,SOP,7,91,7.0,2.6
podaje,2007,doma,Union Olimpija,LJU,7,78,7.0,2.23
podaje,2007,doma,AJ Milano,MIL,7,78,7.0,2.23
podaje,2007,doma,Brose Baskets,BAM,7,76,7.0,2.17
podaje,2007,doma,Cibona,CIB,7,72,7.0,2.06
podaje,2007,doma,Virtus VidiVici,VIR,7,65,7.0,1.86
podaje,2008,doma,Olympiacos,OLY,12,203,12.0,3.38
podaje,2008,doma,Regal FC Barcelona,BAR,12,174,12.0,2.9
podaje,2008,doma,CSKA Moscow,CSK,10,166,10.0,3.32
podaje,2008,doma,Panathinaikos,PAN,11,163,11.0,2.93
podaje,2008,doma,Tau Ceramica,BAS,10,152,10.0,3.04
podaje,2008,doma,Real Madrid,MAD,10,149,10.0,2.98
podaje,2008,doma,Maccabi Electra,TEL,8,135,8.0,3.32
podaje,2008,doma,Unicaja,MAL,8,121,8.0,2.98
podaje,2008,doma,Montepaschi Siena,SIE,10,119,10.0,2.38
podaje,2008,doma,Partizan,PAR,9,112,9.0,2.49
podaje,2008,doma,Fenerbahce Ulker,ULK,8,102,8.0,2.44
podaje,2008,doma,Alba Berlin,BER,8,95,8.0,2.37
podaje,2008,doma,Lottomatica Roma,ROM,8,94,8.0,2.28
podaje,2008,doma,Asseco Prokom,SOP,8,85,8.0,2.12
podaje,2008,doma,Cibona,CIB,8,80,8.0,1.97
podaje,2008,doma,DKV Joventut,JOV,5,80,5.0,3.2
podaje,2008,doma,AJ Milano,MIL,8,78,8.0,1.95
podaje,2008,doma,Le Mans,LEM,5,69,5.0,2.69
podaje,2008,doma,Panionios On Telecoms,NIO,5,63,5.0,2.52
podaje,2008,doma,Zalgiris,ZAL,5,62,5.0,2.48
podaje,2008,doma,SLUC Nancy,NAN,5,59,5.0,2.36
podaje,2008,doma,Air Avellino,AVE,5,51,5.0,2.04
podaje,2008,doma,Union Olimpija,LJU,5,45,5.0,1.8
podaje,2008,doma,Efes Pilsen,IST,5,43,5.0,1.72
podaje,2009,doma,Olympiacos,OLY,10,203,10.0,4.06
podaje,2009,doma,Maccabi Electra,TEL,10,183,10.0,3.66
podaje,2009,doma,Regal FC Barcelona,BAR,12,181,12.0,3.02
podaje,2009,doma,CSKA Moscow,CSK,11,171,11.0,3.07
podaje,2009,doma,Partizan,PAR,11,154,11.0,2.74
podaje,2009,doma,Real Madrid,MAD,10,150,10.0,3.0
podaje,2009,doma,Caja Laboral,BAS,10,148,10.0,2.92
podaje,2009,doma,Asseco Prokom,SOP,10,139,10.0,2.78
podaje,2009,doma,BC Khimki,KHI,8,138,8.0,3.35
podaje,2009,doma,Efes Pilsen,IST,8,133,8.0,3.27
podaje,2009,doma,Unicaja,MAL,8,130,8.0,3.2
podaje,2009,doma,Panathinaikos,PAN,8,121,8.0,3.02
podaje,2009,doma,Maroussi BC,MAR,8,104,8.0,2.6
podaje,2009,doma,Montepaschi Siena,SIE,8,104,8.0,2.6
podaje,2009,doma,Zalgiris Kaunas,ZAL,8,100,8.0,2.5
podaje,2009,doma,Lietuvos Rytas,LIE,5,90,5.0,3.51
podaje,2009,doma,Entente Orleanaise,ORL,5,82,5.0,3.28
podaje,2009,doma,Cibona,CIB,8,78,8.0,1.95
podaje,2009,doma,Asvel Basket,ASV,5,74,5.0,2.89
podaje,2009,doma,Armani Jeans Milano,MIL,5,61,5.0,2.44
podaje,2009,doma,Union Olimpija,LJU,5,60,5.0,2.34
podaje,2009,doma,Fenerbahce Ulker,ULK,5,57,5.0,2.28
podaje,2009,doma,EWE Baskets,OLD,5,49,5.0,1.96
podaje,2009,doma,Lottomatica Roma,ROM,5,48,5.0,1.87
podaje,2010,doma,Maccabi Electra Tel Aviv,TEL,12,207,12.0,3.41
podaje,2010,doma,Olympiacos Piraeus,OLY,10,185,10.0,3.7
podaje,2010,doma,Real Madrid,MAD,12,181,12.0,2.96
podaje,2010,doma,Panathinaikos Athens,PAN,11,162,11.0,2.91
podaje,2010,doma,Caja Laboral Vitoria,BAS,10,149,10.0,2.98
podaje,2010,doma,Regal Barcelona,BAR,10,145,10.0,2.9
podaje,2010,doma,Montepaschi Siena,SIE,10,143,10.0,2.86
podaje,2010,doma,Fenerbahce Ulker Istanbul,ULK,8,141,8.0,3.53
podaje,2010,doma,Unicaja Malaga,MAL,8,140,8.0,3.5
podaje,2010,doma,Lietuvos Rytas Vilnius,LIE,8,130,8.0,3.25
podaje,2010,doma,Power Electronics Valencia,PAM,10,130,10.0,2.6
podaje,2010,doma,Efes Pilsen Istanbul,IST,8,126,8.0,3.15
podaje,2010,doma,Union Olimpija Ljubljana,LJU,8,110,8.0,2.63
podaje,2010,doma,Zalgiris Kaunas,ZAL,8,108,8.0,2.58
podaje,2010,doma,Lottomatica Roma,ROM,8,97,8.0,2.42
podaje,2010,doma,Partizan mt:s Belgrade,PAR,8,88,8.0,2.2
podaje,2010,doma,Spirou Charleroi,CHA,5,73,5.0,2.92
podaje,2010,doma,Brose Baskets Bamberg,BAM,5,71,5.0,2.84
podaje,2010,doma,Khimki Moscow Region,KHI,5,70,5.0,2.73
podaje,2010,doma,Cholet Basket,CHO,5,67,5.0,2.68
podaje,2010,doma,CSKA Moscow,CSK,5,65,5.0,2.6
podaje,2010,doma,Armani Jeans  Milano,MIL,5,62,5.0,2.48
podaje,2010,doma,Asseco Prokom Gdynia,SOP,5,57,5.0,2.28
podaje,2010,doma,Cibona Zagreb,CIB,5,51,5.0,2.04
podaje,2011,doma,CSKA Moscow,CSK,12,235,12.0,3.92
podaje,2011,doma,Panathinaikos Athens,PAN,12,186,12.0,3.04
podaje,2011,doma,Olympiacos Piraeus,OLY,11,172,11.0,3.13
podaje,2011,doma,FC Barcelona Regal,BAR,10,164,10.0,3.28
podaje,2011,doma,Gescrap Bilbao Basket,BIL,10,155,10.0,3.1
podaje,2011,doma,Bennet Cantu,CTU,8,143,8.0,3.57
podaje,2011,doma,Montepaschi Siena,SIE,10,138,10.0,2.76
podaje,2011,doma,Maccabi Electra Tel Aviv,TEL,10,136,10.0,2.72
podaje,2011,doma,Real Madrid,MAD,8,135,8.0,3.38
podaje,2011,doma,Anadolu Efes Istanbul,IST,8,128,8.0,3.2
podaje,2011,doma,Galatasaray Medical Park,GAL,8,117,8.0,2.84
podaje,2011,doma,EA7 Emporio Armani,MIL,8,114,8.0,2.85
podaje,2011,doma,Unicaja Malaga,MAL,8,110,8.0,2.71
podaje,2011,doma,Zalgiris Kaunas,ZAL,8,106,8.0,2.65
podaje,2011,doma,Unics Kazan,UNK,9,105,9.0,2.33
podaje,2011,doma,Fenerbahce Ulker,ULK,8,92,8.0,2.23
podaje,2011,doma,Brose Baskets,BAM,5,76,5.0,3.04
podaje,2011,doma,Partizan mt:s Belgrade,PAR,5,76,5.0,3.04
podaje,2011,doma,Caja Laboral,BAS,5,68,5.0,2.65
podaje,2011,doma,Asseco Prokom Gdynia,SOP,5,66,5.0,2.64
podaje,2011,doma,SLUC Nancy,NAN,5,64,5.0,2.56
podaje,2011,doma,Belgacom Spirou Charleroi,CHA,5,61,5.0,2.44
podaje,2011,doma,KK Zagreb,ZAG,5,61,5.0,2.44
podaje,2011,doma,Union Olimpija Ljubljana,LJU,5,54,5.0,2.16
podaje,2012,doma,CSKA Moscow,CSK,16,288,16.0,3.6
podaje,2012,doma,FC Barcelona Regal,BAR,16,262,16.0,3.25
podaje,2012,doma,Khimki Moscow Region,KHI,12,255,12.0,4.24
podaje,2012,doma,Olympiacos Piraeus,OLY,16,236,16.0,2.95
podaje,2012,doma,Panathinaikos Athens,PAN,14,220,14.0,3.14
podaje,2012,doma,Anadolu Efes Istanbul,IST,14,218,14.0,3.09
podaje,2012,doma,Laboral Kutxa Vitoria,BAS,14,211,14.0,3.01
podaje,2012,doma,Real Madrid,MAD,14,205,14.0,2.9
podaje,2012,doma,Maccabi Electra Tel Aviv,TEL,13,197,13.0,3.03
podaje,2012,doma,Montepaschi Siena,SIE,12,191,12.0,3.15
podaje,2012,doma,Zalgiris Kaunas,ZAL,12,176,12.0,2.9
podaje,2012,doma,Besiktas JK Istanbul,BES,12,172,12.0,2.87
podaje,2012,doma,Brose Baskets Bamberg,BAM,12,169,12.0,2.76
podaje,2012,doma,Alba Berlin,BER,12,161,12.0,2.68
podaje,2012,doma,Fenerbahce Ulker Istanbul,ULK,12,156,12.0,2.6
podaje,2012,doma,Unicaja Malaga,MAL,12,152,12.0,2.51
podaje,2012,doma,Elan Chalon-Sur-Saone,CHL,5,88,5.0,3.43
podaje,2012,doma,Asseco Prokom Gdynia,SOP,5,80,5.0,3.2
podaje,2012,doma,Mapooro Cantu,CTU,5,71,5.0,2.84
podaje,2012,doma,EA7 Emporio Armani Milan,MIL,5,69,5.0,2.76
podaje,2012,doma,Partizan mt:s Belgrade,PAR,5,67,5.0,2.55
podaje,2012,doma,Cedevita Zagreb,CED,5,63,5.0,2.4
podaje,2012,doma,Union Olimpija Ljubljana,LJU,5,61,5.0,2.44
podaje,2012,doma,Lietuvos Rytas Vilnius,LIE,5,48,5.0,1.92
podaje,2013,doma,FC Barcelona,BAR,16,309,16.0,3.86
podaje,2013,doma,Real Madrid,MAD,16,309,16.0,3.83
podaje,2013,doma,CSKA Moscow,CSK,16,301,16.0,3.7
podaje,2013,doma,Maccabi Electra Tel Aviv,TEL,14,265,14.0,3.79
podaje,2013,doma,Olympiacos Piraeus,OLY,14,254,14.0,3.63
podaje,2013,doma,Lokomotiv Kuban Krasnodar,TIV,12,242,12.0,3.99
podaje,2013,doma,Panathinaikos Athens,PAN,14,238,14.0,3.37
podaje,2013,doma,Galatasaray Liv Hospital Istanbul,GAL,13,210,13.0,3.23
podaje,2013,doma,Zalgiris Kaunas,ZAL,12,207,12.0,3.45
podaje,2013,doma,Anadolu Efes Istanbul,IST,12,203,12.0,3.31
podaje,2013,doma,Unicaja Malaga,MAL,12,199,12.0,3.32
podaje,2013,doma,EA7 Emporio Armani Milan,MIL,14,197,14.0,2.79
podaje,2013,doma,Laboral Kutxa Vitoria,BAS,12,183,12.0,3.05
podaje,2013,doma,FC Bayern Munich,MUN,12,180,12.0,3.0
podaje,2013,doma,Fenerbahce Ulker Istanbul,ULK,12,174,12.0,2.9
podaje,2013,doma,Partizan NIS Belgrade,PAR,12,154,12.0,2.57
podaje,2013,doma,Strasbourg,STR,5,100,5.0,4.0
podaje,2013,doma,Brose Baskets Bamberg,BAM,5,93,5.0,3.72
podaje,2013,doma,Budivelnik Kiev,NIK,5,92,5.0,3.68
podaje,2013,doma,Lietuvos Rytas Vilnius,LIE,5,81,5.0,3.16
podaje,2013,doma,Crvena Zvezda Telekom Belgrade,RED,5,78,5.0,3.04
podaje,2013,doma,Stelmet Zielona Gora,GSS,5,75,5.0,3.0
podaje,2013,doma,Montepaschi Siena,SIE,5,68,5.0,2.72
podaje,2013,doma,JSF Nanterre,NTR,5,64,5.0,2.56
podaje,2014,doma,Real Madrid,MAD,16,371,16.0,4.63
podaje,2014,doma,CSKA Moscow,CSK,15,345,15.0,4.56
podaje,2014,doma,Panathinaikos Athens,PAN,14,270,14.0,3.86
podaje,2014,doma,Olympiacos Piraeus,OLY,14,266,14.0,3.8
podaje,2014,doma,Fenerbahce Ulker Istanbul,ULK,15,257,15.0,3.4
podaje,2014,doma,FC Barcelona,BAR,14,256,14.0,3.59
podaje,2014,doma,Maccabi Electra Tel Aviv,TEL,13,229,13.0,3.49
podaje,2014,doma,Crvena Zvezda Telekom Belgrade,RED,12,227,12.0,3.78
podaje,2014,doma,Anadolu Efes Istanbul,IST,14,226,14.0,3.23
podaje,2014,doma,Nizhny Novgorod,NOV,12,212,12.0,3.53
podaje,2014,doma,ALBA Berlin,BER,12,204,12.0,3.4
podaje,2014,doma,Unicaja Malaga,MAL,12,201,12.0,3.32
podaje,2014,doma,Zalgiris Kaunas,ZAL,12,178,12.0,2.97
podaje,2014,doma,EA7 Emporio Armani Milan,MIL,12,174,12.0,2.9
podaje,2014,doma,Galatasaray Liv Hospital Istanbul,GAL,12,172,12.0,2.78
podaje,2014,doma,Laboral Kutxa Vitoria,BAS,12,167,12.0,2.78
podaje,2014,doma,Valencia Basket,PAM,5,96,5.0,3.82
podaje,2014,doma,Cedevita Zagreb,CED,5,94,5.0,3.76
podaje,2014,doma,FC Bayern Munich,MUN,5,87,5.0,3.48
podaje,2014,doma,Limoges CSP,LMG,5,86,5.0,3.44
podaje,2014,doma,Neptunas Klaipeda,KLA,5,85,5.0,3.32
podaje,2014,doma,PGE Turow Zgorzelec,ZGO,5,78,5.0,3.12
podaje,2014,doma,Unics Kazan,UNK,5,76,5.0,3.04
podaje,2014,doma,Dinamo Banco di Sardegna Sassari,SAS,5,73,5.0,2.92
podaje,2015,doma,Real Madrid,MAD,13,283,13.0,4.35
podaje,2015,doma,CSKA Moscow,CSK,15,277,15.0,3.69
podaje,2015,doma,Panathinaikos Athens,PAN,13,274,13.0,4.22
podaje,2015,doma,Fenerbahce Istanbul,ULK,16,274,16.0,3.37
podaje,2015,doma,Lokomotiv Kuban Krasnodar,TIV,15,257,15.0,3.43
podaje,2015,doma,Brose Baskets Bamberg,BAM,12,247,12.0,4.12
podaje,2015,doma,FC Barcelona Lassa,BAR,14,247,14.0,3.44
podaje,2015,doma,Anadolu Efes Istanbul,IST,12,245,12.0,4.04
podaje,2015,doma,Khimki Moscow Region,KHI,12,240,12.0,4.0
podaje,2015,doma,Laboral Kutxa Vitoria Gasteiz,BAS,15,227,15.0,2.95
podaje,2015,doma,Unicaja Malaga,MAL,12,215,12.0,3.58
podaje,2015,doma,Crvena Zvezda Telekom Belgrade,RED,13,211,13.0,3.25
podaje,2015,doma,Olympiacos Piraeus,OLY,12,210,12.0,3.5
podaje,2015,doma,Cedevita Zagreb,CED,12,203,12.0,3.38
podaje,2015,doma,Darussafaka Dogus Istanbul,DAR,12,198,12.0,3.27
podaje,2015,doma,Zalgiris Kaunas,ZAL,12,167,12.0,2.78
podaje,2015,doma,Strasbourg,STR,5,98,5.0,3.92
podaje,2015,doma,Maccabi FOX Tel Aviv,TEL,5,92,5.0,3.68
podaje,2015,doma,Limoges CSP,LMG,5,90,5.0,3.6
