klub,faza,sezona,st_tekme,zmaga,kje,nasprotnik,rezultat
AEK,Regular Season,2000,1,W,doma,Kinder Bologna,78 - 77
AEK,Regular Season,2000,2,W,v gosteh,Saint Petersburg Lions,69 - 90
AEK,Regular Season,2000,3,W,doma,Region Wallone Spirou Charleroi,97 - 73
AEK,Regular Season,2000,4,W,doma,Cibona VIP,83 - 75
AEK,Regular Season,2000,5,L,v gosteh,Tau Ceramica,85 - 65
AEK,Regular Season,2000,6,L,v gosteh,Kinder Bologna,81 - 66
AEK,Regular Season,2000,7,W,doma,Saint Petersburg Lions,84 - 73
AEK,Regular Season,2000,8,W,v gosteh,Region Wallone Spirou Charleroi,89 - 97
AEK,Regular Season,2000,9,W,v gosteh,Cibona VIP,72 - 81
AEK,Regular Season,2000,10,W,doma,Tau Ceramica,64 - 52
AEK,Playoffs,2000,1,W,doma,Zalgiris Kaunas,69 - 60
AEK,Playoffs,2000,2,W,v gosteh,Zalgiris Kaunas,71 - 73
AEK,Playoffs,2000,3,W,doma,Benetton Basket,97 - 89
AEK,Playoffs,2000,4,L,v gosteh,Benetton Basket,90 - 74
AEK,Playoffs,2000,5,W,doma,Benetton Basket,71 - 56
AEK,Playoffs,2000,6,L,doma,Tau Ceramica,65 - 90
AEK,Playoffs,2000,7,L,doma,Tau Ceramica,67 - 70
AEK,Playoffs,2000,8,L,v gosteh,Tau Ceramica,76 - 62
AEK,Regular Season,2001,1,L,v gosteh,Asvel Basket,86 - 84
AEK,Regular Season,2001,2,W,doma,Partizan,106 - 70
AEK,Regular Season,2001,3,W,doma,Tau Ceramica,85 - 82
AEK,Regular Season,2001,4,W,v gosteh,Scavolini Pesaro,68 - 89
AEK,Regular Season,2001,5,W,doma,Telindus Oostende,86 - 79
AEK,Regular Season,2001,6,L,v gosteh,Ural Great,86 - 77
AEK,Regular Season,2001,7,W,doma,Cibona VIP,72 - 69
AEK,Regular Season,2001,8,W,doma,Asvel Basket,87 - 65
AEK,Regular Season,2001,9,W,v gosteh,Partizan,69 - 74
AEK,Regular Season,2001,10,L,v gosteh,Tau Ceramica,82 - 62
AEK,Regular Season,2001,11,L,doma,Scavolini Pesaro,68 - 70
AEK,Regular Season,2001,12,L,v gosteh,Telindus Oostende,102 - 73
AEK,Regular Season,2001,13,W,doma,Ural Great,99 - 85
AEK,Regular Season,2001,14,W,v gosteh,Cibona VIP,89 - 90
AEK,Top 16,2001,1,W,doma,Union Olimpija,97 - 87
AEK,Top 16,2001,2,L,v gosteh,Olympiacos,75 - 69
AEK,Top 16,2001,3,L,doma,Panathinaikos,66 - 73
AEK,Top 16,2001,4,W,v gosteh,Union Olimpija,69 - 85
AEK,Top 16,2001,5,L,v gosteh,Panathinaikos,96 - 92
AEK,Top 16,2001,6,L,doma,Olympiacos,65 - 75
AEK,Regular Season,2002,1,L,v gosteh,Cibona VIP,85 - 71
AEK,Regular Season,2002,2,L,doma,FC Barcelona,57 - 62
AEK,Regular Season,2002,3,L,v gosteh,Skipper Bologna,82 - 76
AEK,Regular Season,2002,4,L,doma,Alba Berlin,87 - 88
AEK,Regular Season,2002,5,L,doma,Pau-Orthez,71 - 83
AEK,Regular Season,2002,6,W,v gosteh,Efes Pilsen,74 - 79
AEK,Regular Season,2002,7,L,doma,Benetton Basket,90 - 94
AEK,Regular Season,2002,8,L,doma,Cibona VIP,69 - 71
AEK,Regular Season,2002,9,L,v gosteh,FC Barcelona,68 - 54
AEK,Regular Season,2002,10,L,doma,Skipper Bologna,63 - 72
AEK,Regular Season,2002,11,L,v gosteh,Alba Berlin,80 - 76
AEK,Regular Season,2002,12,L,v gosteh,Pau-Orthez,86 - 84
AEK,Regular Season,2002,13,L,doma,Efes Pilsen,64 - 81
AEK,Regular Season,2002,14,L,v gosteh,Benetton Basket,72 - 59
AEK,Regular Season,2003,1,L,v gosteh,Ulker,75 - 69
AEK,Regular Season,2003,2,W,doma,Lottomatica Roma,79 - 77
AEK,Regular Season,2003,3,L,v gosteh,Cibona VIP,85 - 80
AEK,Regular Season,2003,4,L,doma,Pau-Orthez,71 - 83
AEK,Regular Season,2003,5,L,v gosteh,FC Barcelona,79 - 62
AEK,Regular Season,2003,6,L,v gosteh,Union Olimpija,78 - 77
AEK,Regular Season,2003,7,W,doma,Partizan,95 - 92
AEK,Regular Season,2003,8,W,doma,Ulker,83 - 82
AEK,Regular Season,2003,9,W,v gosteh,Lottomatica Roma,70 - 73
AEK,Regular Season,2003,10,L,doma,Cibona VIP,73 - 75
AEK,Regular Season,2003,11,W,v gosteh,Pau-Orthez,68 - 78
AEK,Regular Season,2003,12,L,doma,FC Barcelona,64 - 70
AEK,Regular Season,2003,13,W,doma,Union Olimpija,91 - 87
AEK,Regular Season,2003,14,L,v gosteh,Partizan,78 - 71
AEK,Regular Season,2004,1,L,v gosteh,FC Barcelona,69 - 57
AEK,Regular Season,2004,2,L,doma,Zalgiris,76 - 86
AEK,Regular Season,2004,3,L,v gosteh,Montepaschi Siena,77 - 58
AEK,Regular Season,2004,4,W,doma,Asvel Basket,89 - 63
AEK,Regular Season,2004,5,L,doma,Maccabi Elite,110 - 113
AEK,Regular Season,2004,6,W,v gosteh,Scavolini Pesaro,88 - 90
AEK,Regular Season,2004,7,W,doma,Union Olimpija,76 - 75
AEK,Regular Season,2004,8,W,doma,FC Barcelona,91 - 79
AEK,Regular Season,2004,9,L,v gosteh,Zalgiris,81 - 71
AEK,Regular Season,2004,10,W,doma,Montepaschi Siena,75 - 71
AEK,Regular Season,2004,11,W,v gosteh,Asvel Basket,69 - 73
AEK,Regular Season,2004,12,L,v gosteh,Maccabi Elite,93 - 92
AEK,Regular Season,2004,13,W,doma,Scavolini Pesaro,78 - 72
AEK,Regular Season,2004,14,L,v gosteh,Union Olimpija,70 - 66
AEK,Top 16,2004,1,W,doma,Benetton Basket,83 - 75
AEK,Top 16,2004,2,W,doma,Efes Pilsen,70 - 69
AEK,Top 16,2004,3,W,v gosteh,Prokom Trefl Sopot,59 - 75
AEK,Top 16,2004,4,L,v gosteh,Benetton Basket,85 - 65
AEK,Top 16,2004,5,W,doma,Prokom Trefl Sopot,81 - 70
AEK,Top 16,2004,6,L,v gosteh,Efes Pilsen,69 - 62
AEK,Regular Season,2005,1,W,doma,Strasbourg,73 - 71
AEK,Regular Season,2005,2,L,v gosteh,Climamio Bologna,88 - 55
AEK,Regular Season,2005,3,W,doma,Zalgiris,80 - 65
AEK,Regular Season,2005,4,L,v gosteh,Tau Ceramica,77 - 62
AEK,Regular Season,2005,5,L,v gosteh,Union Olimpija,81 - 72
AEK,Regular Season,2005,6,L,doma,Benetton Basket,57 - 83
AEK,Regular Season,2005,7,L,v gosteh,GHP Bamberg,71 - 61
AEK,Regular Season,2005,8,L,v gosteh,Strasbourg,70 - 66
AEK,Regular Season,2005,9,W,doma,Climamio Bologna,82 - 75
AEK,Regular Season,2005,10,L,v gosteh,Zalgiris,87 - 70
AEK,Regular Season,2005,11,L,doma,Tau Ceramica,60 - 87
AEK,Regular Season,2005,12,L,doma,Union Olimpija,68 - 77
AEK,Regular Season,2005,13,L,v gosteh,Benetton Basket,103 - 83
AEK,Regular Season,2005,14,L,doma,GHP Bamberg,51 - 65
ARI,Regular Season,2006,1,W,doma,Fenerbahce Ulker,66 - 58
ARI,Regular Season,2006,2,L,v gosteh,CSKA Moscow,83 - 68
ARI,Regular Season,2006,3,L,v gosteh,Eldo Napoli,71 - 69
ARI,Regular Season,2006,4,W,doma,Pau-Orthez,74 - 72
ARI,Regular Season,2006,5,L,v gosteh,Benetton Basket,64 - 42
ARI,Regular Season,2006,6,W,doma,Zalgiris,73 - 66
ARI,Regular Season,2006,7,L,v gosteh,Winterthur FC Barcelona,86 - 83
ARI,Regular Season,2006,8,W,v gosteh,Fenerbahce Ulker,80 - 86
ARI,Regular Season,2006,9,L,doma,CSKA Moscow,62 - 65
ARI,Regular Season,2006,10,W,doma,Eldo Napoli,80 - 72
ARI,Regular Season,2006,11,L,v gosteh,Pau-Orthez,77 - 62
ARI,Regular Season,2006,12,W,doma,Benetton Basket,65 - 60
ARI,Regular Season,2006,13,L,v gosteh,Zalgiris,77 - 66
ARI,Regular Season,2006,14,L,doma,Winterthur FC Barcelona,75 - 82
ARI,Top 16,2006,1,L,doma,Dynamo Moscow,74 - 86
ARI,Top 16,2006,2,L,v gosteh,Unicaja,76 - 74
ARI,Top 16,2006,3,L,doma,Benetton Basket,79 - 80
ARI,Top 16,2006,4,L,v gosteh,Dynamo Moscow,71 - 69
ARI,Top 16,2006,5,L,v gosteh,Benetton Basket,83 - 72
ARI,Top 16,2006,6,W,doma,Unicaja,83 - 65
ARI,Regular Season,2007,1,W,doma,Unicaja,87 - 83
ARI,Regular Season,2007,2,W,v gosteh,Le Mans,66 - 69
ARI,Regular Season,2007,3,W,doma,Cibona,77 - 73
ARI,Regular Season,2007,4,L,v gosteh,Lietuvos Rytas,77 - 70
ARI,Regular Season,2007,5,L,doma,AJ Milano,70 - 77
ARI,Regular Season,2007,6,W,doma,Efes Pilsen,67 - 64
ARI,Regular Season,2007,7,L,v gosteh,Maccabi Elite,85 - 70
ARI,Regular Season,2007,8,L,v gosteh,Unicaja,73 - 52
ARI,Regular Season,2007,9,W,doma,Le Mans,93 - 74
ARI,Regular Season,2007,10,W,v gosteh,Cibona,76 - 83
ARI,Regular Season,2007,11,L,doma,Lietuvos Rytas,69 - 72
ARI,Regular Season,2007,12,L,v gosteh,AJ Milano,77 - 69
ARI,Regular Season,2007,13,W,v gosteh,Efes Pilsen,74 - 84
ARI,Regular Season,2007,14,L,doma,Maccabi Elite,94 - 101
ARI,Top 16,2007,1,L,doma,Fenerbahce Ulker,88 - 96
ARI,Top 16,2007,2,L,v gosteh,Lietuvos Rytas,89 - 74
ARI,Top 16,2007,3,L,doma,Tau Ceramica,69 - 87
ARI,Top 16,2007,4,W,v gosteh,Fenerbahce Ulker,59 - 60
ARI,Top 16,2007,5,L,v gosteh,Tau Ceramica,90 - 74
ARI,Top 16,2007,6,W,doma,Lietuvos Rytas,83 - 74
ASV,Regular Season,2001,1,W,doma,AEK Athens,86 - 84
ASV,Regular Season,2001,2,L,v gosteh,Tau Ceramica,90 - 66
ASV,Regular Season,2001,3,L,doma,Scavolini Pesaro,63 - 80
ASV,Regular Season,2001,4,W,v gosteh,Telindus Oostende,77 - 88
ASV,Regular Season,2001,5,L,doma,Ural Great,73 - 75
ASV,Regular Season,2001,6,W,v gosteh,Cibona VIP,70 - 82
ASV,Regular Season,2001,7,L,doma,Partizan,78 - 91
ASV,Regular Season,2001,8,L,v gosteh,AEK Athens,87 - 65
ASV,Regular Season,2001,9,W,doma,Tau Ceramica,73 - 71
ASV,Regular Season,2001,10,W,v gosteh,Scavolini Pesaro,65 - 99
ASV,Regular Season,2001,11,W,doma,Telindus Oostende,89 - 76
ASV,Regular Season,2001,12,L,v gosteh,Ural Great,103 - 98
ASV,Regular Season,2001,13,W,doma,Cibona VIP,99 - 84
ASV,Regular Season,2001,14,W,v gosteh,Partizan,82 - 88
ASV,Regular Season,2002,1,W,v gosteh,Virtus Bologna,84 - 88
ASV,Regular Season,2002,2,W,doma,Idea Slask,87 - 80
ASV,Regular Season,2002,3,L,v gosteh,Ulker,65 - 63
ASV,Regular Season,2002,4,W,doma,CSKA Moscow,99 - 87
ASV,Regular Season,2002,5,L,v gosteh,Olympiacos,83 - 77
ASV,Regular Season,2002,6,L,v gosteh,Partizan,79 - 71
ASV,Regular Season,2002,7,L,doma,Real Madrid,64 - 76
ASV,Regular Season,2002,8,L,doma,Virtus Bologna,74 - 88
ASV,Regular Season,2002,9,L,v gosteh,Idea Slask,75 - 73
ASV,Regular Season,2002,10,L,doma,Ulker,79 - 82
ASV,Regular Season,2002,11,L,v gosteh,CSKA Moscow,85 - 65
ASV,Regular Season,2002,12,W,doma,Olympiacos,85 - 74
ASV,Regular Season,2002,13,W,doma,Partizan,104 - 103
ASV,Regular Season,2002,14,W,v gosteh,Real Madrid,77 - 85
ASV,Top 16,2002,1,L,v gosteh,FC Barcelona,85 - 77
ASV,Top 16,2002,2,L,v gosteh,Olympiacos,69 - 59
ASV,Top 16,2002,3,L,doma,Union Olimpija,77 - 78
ASV,Top 16,2002,4,L,doma,FC Barcelona,68 - 77
ASV,Top 16,2002,5,L,v gosteh,Union Olimpija,87 - 66
ASV,Top 16,2002,6,W,doma,Olympiacos,89 - 79
ASV,Regular Season,2003,1,W,doma,Alba Berlin,91 - 89
ASV,Regular Season,2003,2,L,v gosteh,Efes Pilsen,69 - 44
ASV,Regular Season,2003,3,L,doma,Idea Slask,65 - 77
ASV,Regular Season,2003,4,L,v gosteh,Benetton Basket,80 - 59
ASV,Regular Season,2003,5,W,doma,Pamesa Valencia,86 - 66
ASV,Regular Season,2003,6,L,doma,Olympiacos,77 - 92
ASV,Regular Season,2003,7,L,v gosteh,Tau Ceramica,92 - 76
ASV,Regular Season,2003,8,L,v gosteh,Alba Berlin,80 - 73
ASV,Regular Season,2003,9,L,doma,Efes Pilsen,67 - 73
ASV,Regular Season,2003,10,L,v gosteh,Idea Slask,84 - 75
ASV,Regular Season,2003,11,L,doma,Benetton Basket,74 - 87
ASV,Regular Season,2003,12,L,v gosteh,Pamesa Valencia,80 - 64
ASV,Regular Season,2003,13,L,v gosteh,Olympiacos,82 - 61
ASV,Regular Season,2003,14,L,doma,Tau Ceramica,70 - 82
ASV,Regular Season,2004,1,L,v gosteh,Montepaschi Siena,86 - 70
ASV,Regular Season,2004,2,L,doma,Scavolini Pesaro,73 - 82
ASV,Regular Season,2004,3,L,doma,Maccabi Elite,80 - 85
ASV,Regular Season,2004,4,L,v gosteh,AEK Athens,89 - 63
ASV,Regular Season,2004,5,W,doma,Union Olimpija,61 - 54
ASV,Regular Season,2004,6,L,v gosteh,FC Barcelona,73 - 59
ASV,Regular Season,2004,7,W,doma,Zalgiris,85 - 83
ASV,Regular Season,2004,8,L,doma,Montepaschi Siena,54 - 78
ASV,Regular Season,2004,9,L,v gosteh,Scavolini Pesaro,95 - 86
ASV,Regular Season,2004,10,L,v gosteh,Maccabi Elite,89 - 69
ASV,Regular Season,2004,11,L,doma,AEK Athens,69 - 73
ASV,Regular Season,2004,12,L,v gosteh,Union Olimpija,79 - 67
ASV,Regular Season,2004,13,L,doma,FC Barcelona,65 - 69
ASV,Regular Season,2004,14,L,v gosteh,Zalgiris,86 - 72
ASV,Regular Season,2009,1,L,v gosteh,Zalgiris Kaunas,71 - 52
ASV,Regular Season,2009,2,L,doma,Fenerbahce Ulker,76 - 78
ASV,Regular Season,2009,3,L,doma,Montepaschi Siena,65 - 82
ASV,Regular Season,2009,4,L,v gosteh,Regal FC Barcelona,76 - 62
ASV,Regular Season,2009,5,W,doma,Cibona,71 - 68
ASV,Regular Season,2009,6,W,doma,Zalgiris Kaunas,77 - 67
ASV,Regular Season,2009,7,W,v gosteh,Fenerbahce Ulker,61 - 68
ASV,Regular Season,2009,8,L,v gosteh,Montepaschi Siena,83 - 74
ASV,Regular Season,2009,9,L,doma,Regal FC Barcelona,64 - 90
ASV,Regular Season,2009,10,L,v gosteh,Cibona,73 - 71
AVE,Regular Season,2008,1,L,doma,Olympiacos,69 - 83
AVE,Regular Season,2008,2,L,v gosteh,Maccabi Electra,90 - 83
AVE,Regular Season,2008,3,W,doma,Unicaja,72 - 70
AVE,Regular Season,2008,4,W,doma,Le Mans,78 - 73
AVE,Regular Season,2008,5,L,v gosteh,Cibona,82 - 79
AVE,Regular Season,2008,6,L,v gosteh,Olympiacos,91 - 66
AVE,Regular Season,2008,7,L,doma,Maccabi Electra,72 - 86
AVE,Regular Season,2008,8,L,v gosteh,Unicaja,72 - 68
AVE,Regular Season,2008,9,L,v gosteh,Le Mans,92 - 88
AVE,Regular Season,2008,10,W,doma,Cibona,79 - 75
BAM,Regular Season,2005,1,L,v gosteh,Benetton Basket,76 - 68
BAM,Regular Season,2005,2,W,doma,Union Olimpija,81 - 80
BAM,Regular Season,2005,3,W,doma,Strasbourg,73 - 60
BAM,Regular Season,2005,4,L,v gosteh,Climamio Bologna,94 - 64
BAM,Regular Season,2005,5,L,doma,Zalgiris,72 - 79
BAM,Regular Season,2005,6,L,v gosteh,Tau Ceramica,77 - 59
BAM,Regular Season,2005,7,W,doma,AEK Athens,71 - 61
BAM,Regular Season,2005,8,W,doma,Benetton Basket,92 - 85
BAM,Regular Season,2005,9,W,v gosteh,Union Olimpija,57 - 59
BAM,Regular Season,2005,10,W,v gosteh,Strasbourg,68 - 71
BAM,Regular Season,2005,11,L,doma,Climamio Bologna,67 - 76
BAM,Regular Season,2005,12,L,v gosteh,Zalgiris,86 - 65
BAM,Regular Season,2005,13,L,doma,Tau Ceramica,68 - 73
BAM,Regular Season,2005,14,W,v gosteh,AEK Athens,51 - 65
BAM,Top 16,2005,1,L,doma,Tau Ceramica,72 - 77
BAM,Top 16,2005,2,L,v gosteh,Lietuvos Rytas,79 - 67
BAM,Top 16,2005,3,L,doma,CSKA Moscow,64 - 75
BAM,Top 16,2005,4,L,v gosteh,Tau Ceramica,71 - 51
BAM,Top 16,2005,5,L,v gosteh,CSKA Moscow,76 - 64
BAM,Top 16,2005,6,L,doma,Lietuvos Rytas,56 - 72
BAM,Regular Season,2007,1,L,doma,Chorale Roanne,61 - 64
BAM,Regular Season,2007,2,L,v gosteh,Panathinaikos,66 - 61
BAM,Regular Season,2007,3,L,doma,Real Madrid,49 - 59
BAM,Regular Season,2007,4,L,v gosteh,Lottomatica Roma,81 - 57
BAM,Regular Season,2007,5,L,v gosteh,Fenerbahce Ulker,79 - 77
BAM,Regular Season,2007,6,W,doma,Partizan Igokea,78 - 62
BAM,Regular Season,2007,7,L,v gosteh,AXA FC Barcelona,80 - 58
BAM,Regular Season,2007,8,L,v gosteh,Chorale Roanne,84 - 81
BAM,Regular Season,2007,9,L,doma,Panathinaikos,58 - 72
BAM,Regular Season,2007,10,L,v gosteh,Real Madrid,93 - 57
BAM,Regular Season,2007,11,L,doma,Lottomatica Roma,59 - 73
BAM,Regular Season,2007,12,W,doma,Fenerbahce Ulker,81 - 73
BAM,Regular Season,2007,13,L,v gosteh,Partizan Igokea,85 - 37
BAM,Regular Season,2007,14,L,doma,AXA FC Barcelona,65 - 69
BAM,Regular Season,2010,1,L,v gosteh,Lottomatica Roma,83 - 65
BAM,Regular Season,2010,2,W,doma,Olympiacos Piraeus,73 - 61
BAM,Regular Season,2010,3,W,doma,Spirou Charleroi,79 - 69
BAM,Regular Season,2010,4,L,v gosteh,Real Madrid,83 - 81
BAM,Regular Season,2010,5,L,doma,Unicaja Malaga,65 - 69
BAM,Regular Season,2010,6,L,doma,Lottomatica Roma,67 - 68
BAM,Regular Season,2010,7,L,v gosteh,Olympiacos Piraeus,86 - 69
BAM,Regular Season,2010,8,L,v gosteh,Spirou Charleroi,75 - 61
BAM,Regular Season,2010,9,W,doma,Real Madrid,82 - 75
BAM,Regular Season,2010,10,W,v gosteh,Unicaja Malaga,70 - 72
BAM,Regular Season,2011,1,W,doma,KK Zagreb,96 - 65
BAM,Regular Season,2011,2,L,v gosteh,CSKA Moscow,94 - 74
BAM,Regular Season,2011,3,L,doma,Unicaja Malaga,78 - 79
BAM,Regular Season,2011,4,L,v gosteh,Zalgiris Kaunas,81 - 70
BAM,Regular Season,2011,5,W,doma,Panathinaikos Athens,79 - 76
BAM,Regular Season,2011,6,L,v gosteh,KK Zagreb,86 - 74
BAM,Regular Season,2011,7,L,doma,CSKA Moscow,78 - 81
BAM,Regular Season,2011,8,W,v gosteh,Unicaja Malaga,79 - 90
BAM,Regular Season,2011,9,L,doma,Zalgiris Kaunas,68 - 82
BAM,Regular Season,2011,10,L,v gosteh,Panathinaikos Athens,71 - 66
BAM,Regular Season,2012,1,L,v gosteh,FC Barcelona Regal,72 - 60
BAM,Regular Season,2012,2,L,doma,Besiktas JK Istanbul,71 - 86
BAM,Regular Season,2012,3,L,v gosteh,CSKA Moscow,76 - 67
BAM,Regular Season,2012,4,W,doma,Lietuvos Rytas Vilnius,84 - 78
BAM,Regular Season,2012,5,W,v gosteh,Partizan mt:s Belgrade,72 - 77
BAM,Regular Season,2012,6,L,doma,FC Barcelona Regal,66 - 86
BAM,Regular Season,2012,7,L,v gosteh,Besiktas JK Istanbul,83 - 72
BAM,Regular Season,2012,8,L,doma,CSKA Moscow,89 - 97
BAM,Regular Season,2012,9,L,v gosteh,Lietuvos Rytas Vilnius,67 - 62
BAM,Regular Season,2012,10,W,doma,Partizan mt:s Belgrade,92 - 90
BAM,Top 16,2012,1,L,v gosteh,Unicaja Malaga,85 - 82
BAM,Top 16,2012,2,L,doma,Real Madrid,67 - 82
BAM,Top 16,2012,3,L,v gosteh,CSKA Moscow,90 - 83
BAM,Top 16,2012,4,L,doma,Anadolu Efes Istanbul,76 - 94
BAM,Top 16,2012,5,L,v gosteh,Alba Berlin,82 - 63
BAM,Top 16,2012,6,L,v gosteh,Panathinaikos Athens,76 - 73
BAM,Top 16,2012,7,L,doma,Zalgiris Kaunas,87 - 88
BAM,Top 16,2012,8,L,doma,Unicaja Malaga,65 - 68
BAM,Top 16,2012,9,L,v gosteh,Real Madrid,76 - 73
BAM,Top 16,2012,10,L,doma,CSKA Moscow,58 - 78
BAM,Top 16,2012,11,L,v gosteh,Anadolu Efes Istanbul,89 - 86
BAM,Top 16,2012,12,L,doma,Alba Berlin,72 - 75
BAM,Top 16,2012,13,L,doma,Panathinaikos Athens,60 - 82
BAM,Top 16,2012,14,L,v gosteh,Zalgiris Kaunas,90 - 81
BAM,Regular Season,2013,1,W,doma,Strasbourg,84 - 70
BAM,Regular Season,2013,2,L,v gosteh,Real Madrid,98 - 58
BAM,Regular Season,2013,3,W,doma,Anadolu Efes Istanbul,88 - 86
BAM,Regular Season,2013,4,L,doma,EA7 Emporio Armani Milan,62 - 76
BAM,Regular Season,2013,5,L,v gosteh,Zalgiris Kaunas,91 - 81
BAM,Regular Season,2013,6,L,v gosteh,Strasbourg,83 - 72
BAM,Regular Season,2013,7,L,doma,Real Madrid,69 - 89
BAM,Regular Season,2013,8,W,v gosteh,Anadolu Efes Istanbul,78 - 89
BAM,Regular Season,2013,9,L,v gosteh,EA7 Emporio Armani Milan,74 - 73
BAM,Regular Season,2013,10,L,doma,Zalgiris Kaunas,80 - 84
BAM,Regular Season,2015,1,L,v gosteh,Unicaja Malaga,76 - 71
BAM,Regular Season,2015,2,W,doma,Darussafaka Dogus Istanbul,86 - 76
BAM,Regular Season,2015,3,L,v gosteh,CSKA Moscow,83 - 77
BAM,Regular Season,2015,4,W,doma,Maccabi FOX Tel Aviv,77 - 66
BAM,Regular Season,2015,5,W,v gosteh,Dinamo Banco di Sardegna Sassari,73 - 90
BAM,Regular Season,2015,6,W,doma,Unicaja Malaga,73 - 53
BAM,Regular Season,2015,7,W,v gosteh,Darussafaka Dogus Istanbul,54 - 65
BAM,Regular Season,2015,8,L,doma,CSKA Moscow,88 - 100
BAM,Regular Season,2015,9,L,v gosteh,Maccabi FOX Tel Aviv,85 - 65
BAM,Regular Season,2015,10,W,doma,Dinamo Banco di Sardegna Sassari,86 - 54
BAM,Top 16,2015,1,L,v gosteh,Real Madrid,82 - 79
BAM,Top 16,2015,2,W,doma,Zalgiris Kaunas,96 - 63
BAM,Top 16,2015,3,W,v gosteh,Olympiacos Piraeus,72 - 77
BAM,Top 16,2015,4,L,v gosteh,Khimki Moscow Region,78 - 61
BAM,Top 16,2015,5,L,v gosteh,CSKA Moscow,91 - 70
BAM,Top 16,2015,6,W,doma,FC Barcelona Lassa,74 - 70
BAM,Top 16,2015,7,L,v gosteh,Laboral Kutxa Vitoria Gasteiz,90 - 64
BAM,Top 16,2015,8,L,doma,Real Madrid,86 - 90
BAM,Top 16,2015,9,L,v gosteh,Zalgiris Kaunas,75 - 73
BAM,Top 16,2015,10,W,doma,Olympiacos Piraeus,72 - 71
BAM,Top 16,2015,11,W,doma,Khimki Moscow Region,84 - 79
BAM,Top 16,2015,12,W,doma,CSKA Moscow,91 - 83
BAM,Top 16,2015,13,L,v gosteh,FC Barcelona Lassa,75 - 57
BAM,Top 16,2015,14,W,doma,Laboral Kutxa Vitoria Gasteiz,89 - 69
BAM,Regular Season,2016,1,L,v gosteh,Fenerbahce Istanbul,67 - 66
BAM,Regular Season,2016,2,W,doma,Unics Kazan,89 - 86
BAM,Regular Season,2016,3,L,doma,Panathinaikos Superfoods Athens,83 - 84
BAM,Regular Season,2016,4,L,v gosteh,FC Barcelona Lassa,78 - 74
BAM,Regular Season,2016,5,W,doma,EA7 Emporio Armani Milan,106 - 102
BAM,Regular Season,2016,6,L,v gosteh,Darussafaka Dogus Istanbul,72 - 70
BAM,Regular Season,2016,7,L,doma,Crvena Zvezda mts Belgrade,78 - 79
BAM,Regular Season,2016,8,L,v gosteh,Baskonia Vitoria Gasteiz,81 - 74
BAM,Regular Season,2016,9,L,v gosteh,Zalgiris Kaunas,86 - 72
BAM,Regular Season,2016,10,L,doma,CSKA Moscow,88 - 90
BAM,Regular Season,2016,11,W,v gosteh,Maccabi FOX Tel Aviv,70 - 85
BAM,Regular Season,2016,12,W,doma,Anadolu Efes Istanbul,91 - 83
BAM,Regular Season,2016,13,L,v gosteh,Real Madrid,95 - 72
BAM,Regular Season,2016,14,W,doma,Olympiacos Piraeus,82 - 68
BAM,Regular Season,2016,15,W,v gosteh,Galatasaray Odeabank Istanbul,75 - 90
BAM,Regular Season,2016,16,W,doma,FC Barcelona Lassa,85 - 65
BAM,Regular Season,2016,17,L,v gosteh,Unics Kazan,63 - 58
BAM,Regular Season,2016,18,L,v gosteh,CSKA Moscow,85 - 64
BAM,Regular Season,2016,19,L,doma,Real Madrid,89 - 91
BAM,Regular Season,2016,20,L,v gosteh,Olympiacos Piraeus,83 - 77
BAM,Regular Season,2016,21,W,doma,Maccabi FOX Tel Aviv,90 - 75
BAM,Regular Season,2016,22,L,v gosteh,Panathinaikos Superfoods Athens,81 - 72
BAM,Regular Season,2016,23,L,doma,Zalgiris Kaunas,86 - 91
BAM,Regular Season,2016,24,L,v gosteh,Crvena Zvezda mts Belgrade,74 - 60
BAM,Regular Season,2016,25,W,v gosteh,Anadolu Efes Istanbul,68 - 87
BAM,Regular Season,2016,26,L,doma,Fenerbahce Istanbul,78 - 83
BAM,Regular Season,2016,27,L,doma,Baskonia Vitoria Gasteiz,71 - 96
BAM,Regular Season,2016,28,W,v gosteh,EA7 Emporio Armani Milan,76 - 84
BAM,Regular Season,2016,29,L,doma,Darussafaka Dogus Istanbul,97 - 99
BAM,Regular Season,2016,30,L,doma,Galatasaray Odeabank Istanbul,79 - 84
BAM,Regular Season,2017,1,L,doma,Maccabi FOX Tel Aviv,71 - 88
BAM,Regular Season,2017,2,L,v gosteh,Panathinaikos Superfoods Athens,93 - 83
BAM,Regular Season,2017,3,W,v gosteh,Unicaja Malaga,76 - 80
BAM,Regular Season,2017,4,W,doma,KIROLBET Baskonia Vitoria Gasteiz,78 - 72
BAM,Regular Season,2017,5,W,v gosteh,Crvena Zvezda mts Belgrade,69 - 75
BAM,Regular Season,2017,6,L,doma,Fenerbahce Dogus Istanbul,57 - 80
BAM,Regular Season,2017,7,W,doma,FC Barcelona Lassa,84 - 81
BAM,Regular Season,2017,8,L,v gosteh,AX Armani Exchange Olimpia Milan,71 - 62
BAM,Regular Season,2017,9,W,doma,Valencia Basket,83 - 82
BAM,Regular Season,2017,10,L,v gosteh,Khimki Moscow Region,82 - 73
BAM,Regular Season,2017,11,L,doma,CSKA Moscow,76 - 92
BAM,Regular Season,2017,12,W,doma,Olympiacos Piraeus,67 - 65
BAM,Regular Season,2017,13,L,v gosteh,Zalgiris Kaunas,88 - 84
