klub,sezona,ime,funkcija,narodnost,rojstvo
ZAL,2004,"SIREIKA, ANTANAS",Head coach,Lithuania,1956
ZAL,2005,"SIREIKA, ANTANAS",Head coach,Lithuania,1956
ZAL,2006,"GRIGAS, RIMANTAS",Head coach,Lithuania,1962
ZAL,2007,"GRIGAS, RIMANTAS",Head coach,Lithuania,1962
ZAL,2008,"KRAPIKAS, GINTARAS",Head coach,Lithuania,1961
ZAL,2009,"MASKOLIUNAS, DARIUS",Head coach,Lithuania,1971
ZAL,2010,"GRIGAS, RIMANTAS",Head coach,Lithuania,1962
ZAL,2011,"ZOUROS, ILIAS",Head coach,Greece,1966
ZAL,2012,"PLAZA, JOAN",Head coach,Spain,1963
ZAL,2013,"KRAPIKAS, GINTARAS",Head coach,Lithuania,1961
ZAL,2014,"KRAPIKAS, GINTARAS",Head coach,Lithuania,1961
ZAL,2015,"JASIKEVICIUS, SARUNAS",Head coach,Lithuania,1976
ZAL,2016,"JASIKEVICIUS, SARUNAS",Head coach,Lithuania,1976
ZAL,2017,"JASIKEVICIUS, SARUNAS",Head coach,Lithuania,1976
ZGO,2014,"RAJKOVIC, MIODRAG",Head coach,Serbia,1971
