Klub,Kratica,St_tekem,Povprecje,Na_40_min,BlocksFavour,Sezona
Kinder Bologna,VIR,12,3.25,0.64,39,2000
PAF Bologna,FOR,9,4.00,0.80,36,2000
Zalgiris Kaunas,ZAL,6,6.00,1.20,36,2000
KK Zadar,ZAD,5,5.60,1.09,28,2000
PAOK BC,PAO,7,3.86,0.76,27,2000
Olympiakos,OLY,7,3.71,0.74,26,2000
FC Barcelona,BAR,6,4.00,0.80,24,2000
Peristeri,PER,6,3.67,0.73,22,2000
Benetton Basket,TRE,7,3.00,0.60,21,2000
Cibona VIP,CIB,6,3.00,0.59,18,2000
Union Olimpija Ljubljana,LJU,7,2.57,0.52,18,2000
Real Madrid,MAD,7,2.43,0.49,17,2000
Saint Petersburg Lions,PET,5,3.20,0.62,16,2000
AEK Athens,AEK,10,1.40,0.28,14,2000
Tau Ceramica,BAS,10,1.40,0.28,14,2000
KK Buducnost,BUD,6,2.00,0.40,12,2000
Adecco Estudiantes,EST,6,2.00,0.39,12,2000
Hapoel Jerusalem,JER,5,1.60,0.32,8,2000
Ovarense Aerosoles,OVA,5,1.60,0.32,8,2000
Opel Skyliners,FRA,5,1.40,0.28,7,2000
Muller Verona,VER,6,1.00,0.20,6,2000
Region Wallone Spirou Charleroi,CHA,5,0.80,0.16,4,2000
Lugano Snakes,LUG,5,0.60,0.12,3,2000
Haribo London Towers,LON,5,0.40,0.08,2,2000
Ural Great,PEM,10,4.70,0.94,47,2001
Real Madrid,MAD,10,3.80,0.76,38,2001
Zalgiris,ZAL,7,5.43,1.09,38,2001
Olympiacos,OLY,10,3.30,0.64,33,2001
Unicaja,MAL,7,4.43,0.89,31,2001
Tau Ceramica,BAS,10,3.00,0.60,30,2001
Kinder Bologna,VIR,11,2.64,0.53,29,2001
Benetton Basket,TRE,11,2.55,0.50,28,2001
Opel Skyliners,FRA,7,3.86,0.77,27,2001
CSKA Moscow,CSK,10,2.60,0.52,26,2001
Asvel Basket,ASV,7,3.57,0.70,25,2001
Efes Pilsen,IST,10,2.50,0.50,25,2001
Cibona VIP,CIB,7,3.43,0.67,24,2001
Maccabi Elite,TEL,10,2.40,0.53,24,2001
Skipper Bologna,FOR,10,2.20,0.43,22,2001
FC Barcelona,BAR,10,2.10,0.42,21,2001
Idea Slask,WRO,7,3.00,0.59,21,2001
Ulker,ULK,10,2.00,0.40,20,2001
Union Olimpija,LJU,10,1.90,0.38,19,2001
Panathinaikos,PAN,11,1.73,0.34,19,2001
Peristeri,PER,7,2.71,0.54,19,2001
KRKA Novo Mesto,MES,7,2.57,0.51,18,2001
Alba Berlin,BER,7,2.43,0.49,17,2001
Spirou Basket,CHA,7,2.43,0.49,17,2001
AEK Athens,AEK,10,1.60,0.32,16,2001
KK Buducnost,BUD,7,2.14,0.45,15,2001
Pau-Orthez,PAU,7,2.14,0.43,15,2001
Scavolini Pesaro,PES,10,1.40,0.28,14,2001
KK Zadar,ZAD,7,1.86,0.37,13,2001
Telindus Oostende,OOS,7,1.71,0.34,12,2001
Partizan,PAR,7,1.57,0.31,11,2001
Kinder London Towers,LON,7,0.71,0.14,5,2001
Virtus Bologna,VIR,10,5.30,1.06,53,2002
CSKA Moscow,CSK,10,4.00,0.80,40,2002
Unicaja,MAL,10,3.70,0.74,37,2002
Montepaschi Siena,SIE,12,2.92,0.58,35,2002
Maccabi Elite,TEL,10,2.80,0.55,28,2002
KK Buducnost,BUD,7,3.86,0.76,27,2002
Skipper Bologna,FOR,10,2.70,0.53,27,2002
